Team,ERA,AVG,OBP,OPS,H,R,ER,HR,BB,SO,AVG_BATTING,OBS_BATTING,AB_BATTING,R_BATTING,H_BATTING,2B_BATTING,3B_BATTING,HR_BATTING,BB_BATTING,SO_BATTING,W,L,W/L %,Playoffs
 San Francisco 2018,3.95,0.251,0.318,0.722,1387,699,641,156,524,1269,0.239,0.667,5541,603,1324,255,30,133,448,1467,73,89,0.451,No
 Seattle 2018,4.13,0.252,0.308,0.726,1396,711,664,195,400,1328,0.254,0.722,5513,677,1402,256,32,176,430,1221,89,73,0.549,No
 St. Louis 2018,3.85,0.246,0.324,0.702,1354,691,623,144,593,1337,0.249,0.73,5498,759,1369,248,9,205,525,1380,88,74,0.543,No
 Tampa Bay 2018,3.75,0.23,0.3,0.677,1236,646,603,164,501,1421,0.258,0.74,5475,716,1415,274,43,150,540,1388,90,72,0.556,No
 Texas 2018,4.92,0.271,0.335,0.798,1516,848,783,222,491,1121,0.24,0.722,5453,737,1308,266,24,194,555,1484,67,95,0.414,No
 Toronto 2018,4.85,0.265,0.335,0.782,1476,832,772,208,551,1298,0.244,0.739,5477,709,1336,320,16,217,499,1387,73,89,0.451,No
 Washington 2018,4.04,0.242,0.311,0.721,1320,682,649,198,487,1417,0.254,0.753,5517,771,1402,284,25,191,631,1289,82,80,0.506,No
 Arizona 2017,3.67,0.24,0.309,0.707,1309,659,587,171,516,1482,0.254,0.774,5525,812,1405,314,39,220,578,1456,93,69,0.574,Yes
 Atlanta 2017,4.72,0.263,0.339,0.777,1463,821,756,192,584,1258,0.263,0.738,5584,732,1467,289,26,165,474,1184,72,90,0.444,No
 Baltimore 2017,4.97,0.269,0.342,0.799,1505,841,795,242,579,1233,0.26,0.747,5650,743,1469,269,12,232,392,1412,75,87,0.463,No
 Boston 2017,3.72,0.245,0.306,0.712,1384,668,613,195,465,1580,0.258,0.736,5669,785,1461,302,19,168,571,1224,93,69,0.574,Yes
 Chi. Cubs 2017,3.95,0.238,0.315,0.713,1294,695,636,194,554,1439,0.255,0.775,5496,822,1402,274,29,223,622,1401,92,70,0.568,Yes
 Chi. White Sox 2017,4.78,0.254,0.337,0.787,1384,820,755,242,632,1193,0.256,0.731,5513,706,1413,256,37,186,401,1397,67,95,0.414,No
